Symbol	Motif	col	Shape
APOL1	composite	#caffbf	rectangle
ACOT7	ISRE	#ffd6a5	ellipse
A2M	GAS	#fdffb6	diamond
APOL2	composite	#ffadad	rectangle
ACSL5	ISRE	#ffd6a5	ellipse
APOL6	composite	#ffadad	rectangle
ACY3	ISRE	#238b45	ellipse
AGFG2	GAS	#fdffb6	diamond
BCL2L14	composite	#caffbf	rectangle
ADAR	ISRE	#ffadad	ellipse
AGT	GAS	#fdffb6	diamond
AIDA	ISRE	#ffd6a5	ellipse
AIG1	GAS	#caffbf	diamond
CASP1	composite	#ffd6a5	rectangle
AP5Z1	ISRE	#ffd6a5	ellipse
ANXA2R	GAS	#fdffb6	diamond
CASP8	composite	#ffd6a5	rectangle
APOA2	GAS	#fdffb6	diamond
CD274	composite	#ffadad	rectangle
B2M	ISRE	#ffd6a5	ellipse
CFB	composite	#caffbf	rectangle
BATF2	ISRE	#ffadad	ellipse
ASAP1	GAS	#fdffb6	diamond
BTN3A1	ISRE	#ffd6a5	ellipse
ASXL1	GAS	#fdffb6	diamond
CSF1	composite	#caffbf	rectangle
BTN3A2	ISRE	#ffd6a5	ellipse
CTSO	composite	#ffd6a5	rectangle
BTN3A3	ISRE	#ffd6a5	ellipse
C5orf15	ISRE	#ffd6a5	ellipse
DDX58	composite	#238b45	rectangle
CASP4	ISRE	#caffbf	ellipse
DTX3L	composite	#caffbf	rectangle
CASP7	ISRE	#ffd6a5	ellipse
BCL6	GAS	#fdffb6	diamond
BCLAF1	GAS	#fdffb6	diamond
ETV6	composite	#caffbf	rectangle
BOD1	GAS	#fdffb6	diamond
ETV7	composite	#caffbf	rectangle
CEACAM1	ISRE	#ffd6a5	ellipse
BTBD1	GAS	#fdffb6	diamond
FGL1	composite	#fdffb6	rectangle
CMPK2	ISRE	#ffadad	ellipse
C19orf12	GAS	#fdffb6	diamond
C1RL	GAS	#fdffb6	diamond
GBP3	composite	#ffadad	rectangle
C1S	GAS	#fdffb6	diamond
CYTH1	ISRE	#ffd6a5	ellipse
C2	GAS	#fdffb6	diamond
DDX60	ISRE	#ffadad	ellipse
C4BPB	GAS	#fdffb6	diamond
IFI35	composite	#caffbf	rectangle
DDX60L	ISRE	#ffd6a5	ellipse
C5	GAS	#fdffb6	diamond
IFI6	ISRE	#ffadad	ellipse
DNAJA1	ISRE	#ffd6a5	ellipse
IFIT5	ISRE	#238b45	ellipse
DNPEP	ISRE	#ffd6a5	ellipse
CREBRF	GAS	#fdffb6	diamond
IFITM3	composite	#ffadad	rectangle
IL15	composite	#ffd6a5	rectangle
CUTA	GAS	#fdffb6	diamond
ERAP1	ISRE	#ffd6a5	ellipse
DDX23	GAS	#fdffb6	diamond
IRF2	composite	#ffadad	rectangle
FAM111A	ISRE	#ffd6a5	ellipse
DEK	GAS	#fdffb6	diamond
IRF9	composite	#9bf6ff	rectangle
LGALS3BP	composite	#caffbf	rectangle
DPAGT1	GAS	#fdffb6	diamond
MDK	composite	#ffd6a5	rectangle
MVB12A	composite	#ffadad	rectangle
GBP1	ISRE	#ffadad	ellipse
EFNA1	GAS	#fdffb6	diamond
MX1	composite	#ffadad	rectangle
GBP1P1	ISRE	#ffadad	ellipse
FANCI	GAS	#fdffb6	diamond
MYD88	composite	#caffbf	rectangle
FGA	GAS	#fdffb6	diamond
NAPA	composite	#ffadad	rectangle
GNA13	ISRE	#ffd6a5	ellipse
NMI	composite	#caffbf	rectangle
PARP14	composite	#ffadad	rectangle
GNB4	ISRE	#ffd6a5	ellipse
GADD45B	GAS	#fdffb6	diamond
PHF11	composite	#ffd6a5	rectangle
GCLM	GAS	#fdffb6	diamond
PLSCR1	composite	#ffadad	rectangle
GSDMD	ISRE	#ffd6a5	ellipse
GCNT3	GAS	#fdffb6	diamond
PML	composite	#ffd6a5	rectangle
GEN1	GAS	#fdffb6	diamond
PRRC2C	composite	#ffd6a5	rectangle
GNB2	GAS	#fdffb6	diamond
H6PD	GAS	#fdffb6	diamond
RIPK1	composite	#caffbf	rectangle
HABP2	GAS	#fdffb6	diamond
RNF213	composite	#ffadad	rectangle
RTP4	ISRE	#ffd6a5	ellipse
IFIT1	ISRE	#238b45	ellipse
SAMD9	ISRE	#ffd6a5	ellipse
IFIT2	ISRE	#ffd6a5	ellipse
HIPK3	GAS	#fdffb6	diamond
SERPIND1	composite	#fdffb6	rectangle
IFIT3	ISRE	#ffadad	ellipse
HLA-E	GAS	#ffadad	diamond
SMG1	composite	#fdffb6	rectangle
HNRNPR	GAS	#fdffb6	diamond
SP110	composite	#ffadad	rectangle
ISG15	ISRE	#ffadad	ellipse
SPTBN1	composite	#caffbf	rectangle
ISG20	ISRE	#238b45	ellipse
STX17	composite	#ffd6a5	rectangle
KDSR	ISRE	#ffd6a5	ellipse
HPX	GAS	#fdffb6	diamond
ICAM1	GAS	#fdffb6	diamond
LAP3	ISRE	#ffadad	ellipse
IMPAD1	GAS	#fdffb6	diamond
USP18	composite	#ffadad	rectangle
LOC153684	ISRE	#ffd6a5	ellipse
INTS10	GAS	#fdffb6	diamond
VTN	GAS	#fdffb6	diamond
MOV10	ISRE	#ffd6a5	ellipse
IPO8	GAS	#fdffb6	diamond
ZC3HAV1	composite	#ffadad	rectangle
IRF1	GAS	#fdffb6	diamond
NCOA7	composite	#caffbf	rectangle
NEDD1	ISRE	#ffd6a5	ellipse
NOD1	ISRE	#ffd6a5	ellipse
LSR	GAS	#fdffb6	diamond
MAFF	GAS	#fdffb6	diamond
MAN1A1	GAS	#caffbf	diamond
OAS1	ISRE	#ffd6a5	ellipse
MAPKAPK3	GAS	#fdffb6	diamond
OAS2	ISRE	#ffd6a5	ellipse
MED16	GAS	#fdffb6	diamond
OAS3	ISRE	#ffadad	ellipse
OGFR	ISRE	#ffd6a5	ellipse
MITD1	GAS	#fdffb6	diamond
OPTN	ISRE	#ffd6a5	ellipse
MTPN	GAS	#fdffb6	diamond
OTUD4	ISRE	#ffd6a5	ellipse
PANX1	ISRE	#ffd6a5	ellipse
NAMPT	GAS	#fdffb6	diamond
PARP10	ISRE	#ffd6a5	ellipse
PCNA	ISRE	#ffd6a5	ellipse
NFKB2	GAS	#fdffb6	diamond
NFKBIZ	GAS	#caffbf	diamond
NNMT	GAS	#fdffb6	diamond
PNPT1	ISRE	#238b45	ellipse
PRKD2	ISRE	#ffd6a5	ellipse
NUCB1	GAS	#fdffb6	diamond
PRRG4	ISRE	#ffd6a5	ellipse
PSMB10	ISRE	#ffd6a5	ellipse
OSMR	GAS	#fdffb6	diamond
PDE4D	GAS	#fdffb6	diamond
PSME1	ISRE	#ffd6a5	ellipse
PLEKHB2	GAS	#fdffb6	diamond
RBCK1	ISRE	#ffd6a5	ellipse
RBM43	ISRE	#ffd6a5	ellipse
PROS1	GAS	#fdffb6	diamond
PSMB3	GAS	#fdffb6	diamond
RPS12	ISRE	#e5f5f9	ellipse
RAB27A	GAS	#fdffb6	diamond
RAD1	GAS	#fdffb6	diamond
SEC16B	ISRE	#ffadad	ellipse
RAP1A	GAS	#fdffb6	diamond
SHISA5	composite	#ffadad	rectangle
SLC15A3	ISRE	#ffd6a5	ellipse
RBM42	GAS	#fdffb6	diamond
SLFN12	ISRE	#ffd6a5	ellipse
RBM7	GAS	#ffd6a5	diamond
SMARCA5	ISRE	#ffd6a5	ellipse
RBP4	GAS	#fdffb6	diamond
SOCS1	ISRE	#ffd6a5	ellipse
SP100	ISRE	#ffadad	ellipse
RPS6KB2	GAS	#ffd6a5	diamond
SP140L	ISRE	#ffd6a5	ellipse
SCN9A	GAS	#fdffb6	diamond
SDSL	GAS	#fdffb6	diamond
STAT1	ISRE	#ffadad	ellipse
SEPHS2	GAS	#fdffb6	diamond
STAT2	ISRE	#ffadad	ellipse
SERPINB1	GAS	#fdffb6	diamond
TAP1	ISRE	#ffadad	ellipse
SERPING1	GAS	#9bf6ff	diamond
TAP2	ISRE	#ffd6a5	ellipse
SHC2	GAS	#fdffb6	diamond
TAPBP	ISRE	#ffd6a5	ellipse
SKI	GAS	#fdffb6	diamond
TAPBPL	ISRE	#ffd6a5	ellipse
SLC25A18	GAS	#fdffb6	diamond
SLC7A2	GAS	#fdffb6	diamond
TMEM140	ISRE	#ffadad	ellipse
SMPD1	GAS	#fdffb6	diamond
TRIM14	ISRE	#ffd6a5	ellipse
SOCS3	GAS	#fdffb6	diamond
TRIM26	ISRE	#ffd6a5	ellipse
SSBP4	GAS	#fdffb6	diamond
TRIM44	ISRE	#ffd6a5	ellipse
STAT3	GAS	#fdffb6	diamond
USF1	ISRE	#ffd6a5	ellipse
XAF1	ISRE	#ffd6a5	ellipse
ZC3H7B	ISRE	#ffd6a5	ellipse
TCIRG1	GAS	#fdffb6	diamond
ZFYVE26	ISRE	#ffd6a5	ellipse
TNFAIP1	GAS	#fdffb6	diamond
TOP1	GAS	#fdffb6	diamond
UBE2D1	GAS	#fdffb6	diamond
WSB1	GAS	#fdffb6	diamond
YPEL2	GAS	#fdffb6	diamond
ZNF24	GAS	#fdffb6	diamond
